source_id,source_name,author,title,description,url,urlToImage,publishedAt,content,summary,tags
,Hackaday,Lewin Day,Self-Cleaning Tech Could Help Solar Panels Keep Efficiency Up,"Solar panels are a special kind of magic — turning light into useful electrical energy. However, they don’t work nearly as well when they’re covered in dust, dirt, and grime. …read more",https://hackaday.com/2023/04/14/self-cleaning-tech-could-help-solar-panels-keep-efficiency-up/,https://hackaday.com/wp-content/uploads/2023/04/PMDL-120_cleaning-PV-panels_Fig1.webp,2023-04-14T11:00:36Z,"Solar panels are a special kind of magic — turning light into useful electrical energy. However, they don’t work nearly as well when they’re covered in dust, dirt, and grime. Conventional solutions i… [+1384 chars]","Solar panels are a special kind of magic — turning light into useful electrical energy.
Conventional solutions involve spraying panels down with pure water, which is expensive and wasteful, or dry scrubbing, which can cause efficiency loss through scratching the panels.
However, innovative new methods may offer useful solutions in this area, as shared by EETimes.
Researchers at MIT have explored the use of electrostatic methods to remove dust from solar panels.
By creating a sufficiently strong electrostatic field, dust particles can be compelled to leap off of solar panels.","['solar', 'water', 'pattern', 'panels', 'help', 'useful', 'solutions', 'methods', 'selfcleaning', 'special', 'tech', 'efficiency', 'dust', 'surface']"
google-news,Google News,,Solid-fuel missile: N. Korea touts new long-range tech test - CTV News,"<ol><li>Solid-fuel missile: N. Korea touts new long-range tech test  CTV News
</li><li>What’s solid-fuel technology and why’s North Korea developing it?  Al Jazeera English
</li><li>Kim Jong Un's Daughter Becomes Fixture in North Korea Weapons Tests: In Pic…",https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LmN0dm5ld3MuY2Evd29ybGQvbm9ydGgta29yZWEtc2F5cy1pdC10ZXN0ZWQtbmV3LXNvbGlkLWZ1ZWwtbG9uZy1yYW5nZS1taXNzaWxlLTEuNjM1NTE3ONIBAA?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1,,2023-04-14T02:08:00Z,"We use cookies and data to<ul><li>Deliver and maintain Google services</li><li>Track outages and protect against spam, fraud, and abuse</li><li>Measure audience engagement and site statistics to unde… [+1131 chars]","SEOUL, South Korea -North Korea said Friday it flight-tested a solid-fuel intercontinental ballistic missile for the first time, a possible breakthrough in its efforts to acquire a more powerful, harder-to-detect weapon targeting the continental United States.
Later Friday, the U.S. flew nuclear-capable B-52 bombers to the Korean Peninsula for joint aerial training with South Korean warplanes in their latest show of force against North Korea.
North Korea has justified its weapons demonstrations as a response to the expanding military exercises between the United States and South Korea, which the North condemns as invasion rehearsals while using them as a pretext to push further its own weapons development.
North Korea claimed the drills simulated an all-out war against North Korea and communicated threats against it.
The United States and South Korea have said their exercises are defensive in nature and expanding them was necessary to cope with the North's evolving threats.","['tested', 'weapons', 'test', 'nuclear', 'kim', 'korea', 'missiles', 'korean', 'south', 'north', 'solidfuel', 'united', 'missile', 'longrange']"
cnn,CNN,Scottie Andrew,These films predicted the future of science. How right were they?,"Films such as ""Gattaca,"" ""Her"" and even ""M3GAN"" have predicted what our future might look like if developments in genetic editing and AI accelerate. Here's what those films get right — and what's still the stuff of science fiction.",https://www.cnn.com/2023/04/14/entertainment/film-future-tech-m3gan-gattaca-scn-cec/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/230313151717-01-future-tech-films.jpg?c=16x9&q=w_800,c_fill",2023-04-14T16:19:10Z,"Great sci-fi films are both fantastical and prescient. They can whisk viewers to a galaxy far, far away or exaggerate real scenarios on a fictionalized version of our planet. 
But the genre is at it… [+8124 chars]","Films such as “Gattaca,” “Her” and even the horror comedy “M3GAN” have predicted what our future might look like if developments in gene editing and artificial intelligence accelerate.
Here’s what some notable films get right about science and tech — and what’s still the stuff of science fiction.
Gene editing becomes the norm, and characters who are born without it are considered “in-valids” with a greater potential for hereditary disorders than “valids,” humans genetically engineered to avoid those illnesses.
Current gene therapy trials — including the sickle cell trial Gray was a part of — involve altering nonreproductive cells in what’s known as somatic gene editing.
But the process of preemptively manipulating the genes of human sperm, eggs or embryos in a way that evokes “Gattaca” — called heritable gene editing — has raised serious ethical concerns.","['m3gan', 'yaszek', 'films', 'predicted', 'genetic', 'human', 'covid19', 'ai', 'science', 'future', 'right', 'gene', 'world', 'editing', 'contagion']"
,The Guardian,Alex Hern,LloydsPharmacy shared customers’ sensitive data for targeted advertising,Exclusive: Investigation finds company passed on information such as purchases of Viagra to TikTok and FacebookLloydsPharmacy has been sharing customer data on sensitive purchases such as Viagra with TikTok and Facebook in order to feed them information for t…,https://www.theguardian.com/business/2023/apr/15/lloyds-pharmacy-shared-customer-sensitive-data-targeted-advertising-tiktok-facebook,https://i.guim.co.uk/img/media/168f667401e31348af4a83291dc031c46956b800/0_159_2819_1691/master/2819.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=a7f5eb5c9801d2b4b15c832eb87fb931,2023-04-15T06:00:33Z,"LloydsPharmacy has been sharing customer data on sensitive purchases such as Viagra with TikTok and Facebook in order to feed them information for their targeted advertising systems, an investigation… [+5433 chars]","LloydsPharmacy has been sharing customer data on sensitive purchases such as Viagra with TikTok and Facebook in order to feed them information for their targeted advertising systems, an investigation has found.
In a statement, a Meta spokesperson said: “Advertisers should not send sensitive information about people through our business tools.
Our system is designed to filter out potentially sensitive data it is able to detect.”“We don’t want websites or apps sending us sensitive information about people,” the spokesperson added.
“If a business sends us potentially sensitive data, which in some cases can happen in error, our filtering mechanism is designed to remove the potentially sensitive data it detects before that data can be stored in our ads systems.
“Using the TikTok pixel to send us sensitive data, including personal health information, would be a breach of our terms.","['information', 'sensitive', 'shared', 'customers', 'facebook', 'social', 'targeted', 'pixel', 'data', 'lloydspharmacy', 'tiktok', 'advertising', 'privacy', 'pixels', 'online']"
,HuffPost,AP,DA: Suspect In Killing Of Cash App Founder Planned Attack,San Francisco prosecutors say the 38-year-old tech consultant charged with the killing of Cash App founder Bob Lee planned the attack.,https://www.huffpost.com/entry/cash-app-founder-slain-suspect_n_6439d116e4b03031958d0d2e,https://img.huffingtonpost.com/asset/6439d20a250000620095205d.jpeg?cache=BuCKMFr3b8&ops=1200_630,2023-04-14T22:25:30Z,"SAN FRANCISCO, CA - APRIL 7: Flowers and cards left as people paying tribute to Bob Lee near the Portside apartment building in San Francisco, California, United States on April 7, 2023. Bob Lee, the… [+5272 chars]","SAN FRANCISCO, CA - APRIL 7: Flowers and cards left as people paying tribute to Bob Lee near the Portside apartment building in San Francisco, California, United States on April 7, 2023.
Bob Lee, the American technology entrepreneur who cofounded Cash App, the mobile payment service provider, was stabbed to death in the US city of San Francisco on Wednesday.
Momeni was arrested Thursday and appeared in a San Francisco courtroom Friday but did not enter a plea.
It does not name Khazar Elyassnia but lists her residence as in the Millennium Tower.
The friend, Lee and Khazar Elyassnia had been drinking together the day before the attack at another person’s apartment, according to the document.","['suspect', 'lee', 'francisco', 'judge', 'da', 'cash', 'motion', 'app', 'stabbing', 'san', 'planned', 'founder', 'attack', 'momeni', 'khazar', 'killing', 'friend', 'elyassnia']"
the-washington-post,The Washington Post,Danielle Abril,Where are all those tech workers going? A Silicon Valley exodus is shaking up the landscape.,"SAN FRANCISCO - As a computer science student in the Midwest, Alex Valaitis idolized Silicon Valley, drawn to the Bay Area like a theater major dreams of...",https://www.washingtonpost.com/technology/2023/04/12/silicon-valley-bay-area-tech/,https://s.yimg.com/ny/api/res/1.2/3p3_cLj_gUfh5wespyUATw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2023-04/170bfd40-dba2-11ed-bf2d-ff6ac41f2a48,2023-04-14T20:08:42Z,"SAN FRANCISCO - As a computer science student in the Midwest, Alex Valaitis idolized Silicon Valley, drawn to the Bay Area like a theater major dreams of Broadway. But after five years of ""soul-crush… [+8847 chars]","A Silicon Valley exodus is shaking up the landscape.
These regions still pale in comparison to Silicon Valley, which in 2022 drew $74.9 billion in investments across 3,206 deals.
The Silicon Valley region was also the home of 86 percent of start-ups, up from 53 percent last year, funded by famed start-up accelerator Y Combinator.
And nearly 250,000 people left the Silicon Valley region during the pandemic, according to census data from April 1, 2020, to July 1, 2022.
Tech workers desiring the quintessential start-up experience are still flocking to Silicon Valley, said partners at investment firm Index Ventures.","['work', 'francisco', 'companies', 'exodus', 'shaking', 'region', 'ai', 'landscape', 'valley', 'tech', 'workers', 'austin', 'going', 'silicon']"
cnn,CNN,Parija Kavilanz,"David's Bridal laying off over 9,000 workers","David's Bridal, one of largest sellers of wedding gowns in the United States, is laying off thousands of workers nationwide, according to a notice filed to the Pennsylvania Department of Labor.",https://www.cnn.com/2023/04/14/business/davids-bridal-layoffs/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/200221122024-02-davids-bridal-file.jpg?c=16x9&q=w_800,c_fill",2023-04-14T19:55:26Z,"Davids Bridal, one of largest sellers of wedding gowns in the United States, is laying off thousands of workers nationwide, according to a notice filed to the Pennsylvania Department of Labor.
The n… [+2227 chars]","New York CNN —David’s Bridal, one of largest sellers of wedding gowns in the United States, is laying off thousands of workers nationwide, according to a notice filed to the Pennsylvania Department of Labor.
“The scale of these layoffs suggest that David’s Bridal is in crisis mode,” said Neil Saunders, managing director at GlobalData Retail.
David’s Bridal filed for bankruptcy in 2018 after being laden with growing debt and declining sales of wedding dresses.
The following year, David’s Bridal, which operates more than 300 stores, said it had anticipated weddings to return with a vengeance because of pent-up demand.
But the layoffs at David’s Bridal come amid ongoing job losses across retail, tech and other industries.","['stores', 'retailer', 'laying', 'york', '9000', 'according', 'bankruptcy', 'company', 'bridal', 'layoffs', 'davids', 'workers']"
google-news,Google News,,"Bob Lee’s killing called ‘planned and deliberate’, prosecutors say - The Guardian","<ol><li>Bob Lee’s killing called ‘planned and deliberate’, prosecutors say  The Guardian
</li><li>Suspect in Cash App founder's San Francisco killing had planned the stabbing, prosecutors say  CBC.ca
</li><li>Man arrested in Cash App founder Bob Lee killing…",https://consent.google.com/ml?continue=https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS90ZWNobm9sb2d5LzIwMjMvYXByLzE0L2JvYi1sZWUtbmltYS1tb21lbmktY291cnQtaGVhcmluZ9IBVGh0dHBzOi8vYW1wLnRoZWd1YXJkaWFuLmNvbS90ZWNobm9sb2d5LzIwMjMvYXByLzE0L2JvYi1sZWUtbmltYS1tb21lbmktY291cnQtaGVhcmluZw?oc%3D5&gl=FR&hl=en-US&cm=2&pc=n&src=1,,2023-04-14T23:36:00Z,"We use cookies and data to<ul><li>Deliver and maintain Google services</li><li>Track outages and protect against spam, fraud, and abuse</li><li>Measure audience engagement and site statistics to unde… [+1131 chars]","The killing of the Cash App founder Bob Lee in San Francisco last week was a “planned and deliberate attack”, prosecutors in the case said in a court document on Friday.
On Thursday, San Francisco police announced that they had arrested Momeni, who they said knew Lee.
Khazar Elyassnia, left, stands next to her husband, Dino Elyassnia, before a court hearing for her brother, Nima Momeni.
Khazar Elyassnia is not mentioned in the document by name, but prosecutors make mention of her residence.
Lee had recently moved to Miami with his father and was back in San Francisco for business when police found him last week.","['prosecutors', 'say', 'lee', 'francisco', 'bob', 'document', 'court', 'deliberate', 'lees', 'according', 'san', 'planned', 'momeni', 'khazar', 'killing', 'friend', 'elyassnia']"
usa-today,USA Today,"USA TODAY, George Petras, USA TODAY","North Korea missile launch, which sparked fear in Hokkaido, Japan, signals more weapons tests","Hokkaido, Japan, ordered and then canceled an evacuation as Kim Jong Un tests high-tech weaponry in response to U.S.-South Korean military exercises.",https://www.usatoday.com/story/graphics/2023/04/13/north-korea-missiles-tests-icbm-2023/11622443002/,"https://www.gannett-cdn.com/presto/2023/04/13/USAT/bcc80ec4-fec5-4a38-86b1-856412ae84ab-North_Korea_missiles-v4.png?auto=webp&crop=3800,2138,x0,y324&format=pjpg&width=1200",2023-04-14T12:22:53Z,"North Korea's latest missile launch, which it identified as a new type of solid-fuel intercontinental ballistic missile, is raising concern over the nation's growing nuclear weapons program.
Thursda… [+2830 chars]","Ballistic missile: A missile launched into high trajectory by a rocket engine.
Hypersonic missile: Ballistic missiles that can travel at five times the speed of sound or faster.
SRBM: Short-range ballistic missile; range 620 miles.
Short-range ballistic missile; range 620 miles.
Though the U.S. and the U.N. Security Council have sanctioned North Korea for its missile tests, the measures have slowed, but not stopped, missile development.","['signals', 'weapons', '620', 'hokkaido', 'korea', 'missiles', 'launch', 'guidance', 'tests', 'north', 'sparked', 'range', 'miles', 'ballistic', 'missile', 'japan']"
,CNET,David Lumb,Microsoft Adds AI Chatbot to Its SwiftKey Keyboard App - CNET,Now you can ask Bing AI to look things up or soften your tone when chatting.,https://www.cnet.com/tech/mobile/microsoft-adds-ai-chatbot-to-its-swiftkey-keyboard-app/,https://www.cnet.com/a/img/resize/eaff1bb887b4969aae5b50724515e36425dbe988/hub/2023/02/22/7a5f71ab-3c0d-4899-b13e-e39f67b222bf/gettyimages-1247376174-bing-logo.jpg?auto=webp&fit=crop&height=630&width=1200,2023-04-15T18:31:01Z,"Microsoft has added its BIng AI chatbot to its popular SwiftKey third-party keyboard app for iOS and Android phones, giving users quick access to AI-generated answers and advice.
With the keyboard o… [+1834 chars]","Microsoft has added its BIng AI chatbot to its popular SwiftKey third-party keyboard app for iOS and Android phones, giving users quick access to AI-generated answers and advice.
Anyone can use Bing AI to search within the keyboard, but the more advanced AI chatbot and tone retouching require users to sign in to their Microsoft Account first.
Microsoft added AI to its Bing search engine in early February and has been rolling out more AI integrations since, like adding an AI image creator powered by OpenAI's Dall-E AI to Bing and an AI-powered 'Copilot' to its Office apps.
It seems like Bing AI is going to play a big role in Microsoft's products going forward, as the company added it to Windows 11, too.
The AI wave was kicked off by OpenAI's ChatGPT, which arrived late last year to surprise users with its rich yet conversational responses.","['google', 'bing', 'search', 'users', 'app', 'chatbot', 'keyboard', 'ai', 'openais', 'conversational', 'adds', 'chatgpt', 'microsoft', 'swiftkey']"
